session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
k1hxkkab,1,i0g0hve8,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,8,akn7tcv5,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,9,fewonbrz,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,3,sc8lbs96,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,4,tozx4h6f,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,7,2av5nbe5,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,12,ixp6t6rj,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,6,vdz27tkv,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,10,cqd95f9g,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,11,ab0ukpg2,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,2,3gfleihj,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
k1hxkkab,4,tozx4h6f,15,debate,Posicion_final,1731089968,1,0,0
k1hxkkab,8,akn7tcv5,15,debate,Posicion_final,1731089972,1,0,0
k1hxkkab,9,fewonbrz,15,debate,Posicion_final,1731089973,1,0,0
k1hxkkab,1,i0g0hve8,15,debate,Posicion_final,1731089976,1,0,0
k1hxkkab,11,ab0ukpg2,15,debate,Posicion_final,1731089977,1,0,0
k1hxkkab,10,cqd95f9g,15,debate,Posicion_final,1731089981,1,0,0
k1hxkkab,12,ixp6t6rj,15,debate,Posicion_final,1731089984,1,0,0
k1hxkkab,4,tozx4h6f,16,debate,Instr_calificacion,1731089986,1,0,0
k1hxkkab,7,2av5nbe5,15,debate,Posicion_final,1731089986,1,0,0
k1hxkkab,3,sc8lbs96,15,debate,Posicion_final,1731089986,1,0,0
k1hxkkab,10,cqd95f9g,16,debate,Instr_calificacion,1731089988,1,0,0
k1hxkkab,6,vdz27tkv,15,debate,Posicion_final,1731089991,1,0,0
k1hxkkab,1,i0g0hve8,16,debate,Instr_calificacion,1731089991,1,0,0
k1hxkkab,5,t38ifg4p,15,debate,Posicion_final,1731089995,1,0,0
k1hxkkab,2,3gfleihj,15,debate,Posicion_final,1731089997,1,0,0
k1hxkkab,8,akn7tcv5,16,debate,Instr_calificacion,1731089998,1,0,0
k1hxkkab,11,ab0ukpg2,16,debate,Instr_calificacion,1731090002,1,0,0
k1hxkkab,7,2av5nbe5,16,debate,Instr_calificacion,1731090008,1,0,0
k1hxkkab,9,fewonbrz,16,debate,Instr_calificacion,1731090011,1,0,0
k1hxkkab,6,vdz27tkv,16,debate,Instr_calificacion,1731090012,1,0,0
k1hxkkab,12,ixp6t6rj,16,debate,Instr_calificacion,1731090015,1,0,0
k1hxkkab,3,sc8lbs96,16,debate,Instr_calificacion,1731090018,1,0,0
k1hxkkab,2,3gfleihj,16,debate,Instr_calificacion,1731090033,1,0,0
k1hxkkab,5,t38ifg4p,16,debate,Instr_calificacion,1731090037,1,0,0
k1hxkkab,3,sc8lbs96,17,debate,Calificacion,1731090056,1,0,0
k1hxkkab,4,tozx4h6f,17,debate,Calificacion,1731090086,1,0,0
